company,city,county,state,employees_affected,notice_date,effective_date,industry,link,notes
Saddle Creek Logistics Services,Duncan,Spartanburg,SC,130,2026-01-02,2026-03-05,Logistics,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
SMBC MANUBANK (JeniusBank),New York,Statewide - Multiple Counties,SC,3,2026-01-08,2026-03-10,Banking,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
"eREV Supply Chain, LLC",Charleston,Charleston,SC,133,2026-01-14,2026-02-28,Supply Chain,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,ENERGY-ADJACENT (EV supply chain)
DLH Solutions,Charleston,Charleston,SC,194,2026-01-15,2026-02-28,Services,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
James Hardie Building Products Inc.,Summerville,Dorchester,SC,78,2026-01-15,2026-03-16,Building Products,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
Milliken (Cedar Hill Plant),Jonesville,Union,SC,126,2026-02-11,2026-04-17,Textiles,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
International Paper Company,Georgetown,Georgetown,SC,126,2026-02-18,2026-05-01,Paper,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
Koppers Inc.,Florence,Florence,SC,66,2026-02-20,2026-04-21,Chemicals,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
"First Brands Group, LLC (AVM)",East Marion,Marion,SC,64,2026-02-23,2026-02-23,Automotive,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
"Parsec, LLC",Charleston,Charleston,SC,39,2026-02-23,2026-05-01,Logistics,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
Charter Communications,West Columbia,Lexington,SC,62,2026-03-05,2026-05-07,Telecom,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
C2 Technologies,McLean,Richland,SC,1,2026-03-02,2026-03-06,Services,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
KPR US LLC,Camden,Kershaw,SC,19,2026-03-10,2026-05-15,Manufacturing,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
Textron Systems Corporation,Goose Creek,Berkeley,SC,58,2026-03-23,2026-05-21,Aerospace/Defense,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
KPR US LLC,Camden,Kershaw,SC,23,2026-03-24,2026-05-29,Manufacturing,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
"ABM Industry Groups, LLC",N. Charleston,Charleston,SC,122,2026-04-07,2026-04-13,Facilities,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
"Industrial Plastics Group, LLC",Liberty,Pickens,SC,74,2026-04-10,2026-04-10,Plastics,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
"Republic National Distributing Company, LLC",West Columbia,Lexington,SC,451,2026-04-23,2026-06-07,Distribution,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
Univar Solutions USA LLC,Greer,Spartanburg,SC,99,2026-04-21,2026-06-28,Chemicals,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
"thyssenkrupp Supply Chain Services, Inc.",Greer,Spartanburg,SC,110,2026-05-04,2026-07-05,Supply Chain,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
Hengst Filtration,Camden,Kershaw,SC,77,2026-05-06,2026-07-06,Manufacturing,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
"Swiss Krono, LLC",Barnwell,Barnwell,SC,99,2026-05-12,2026-07-11,Wood Products,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
"Electrolux Consumer Products, Inc.",Anderson,Anderson,SC,1255,2026-05-15,2026-07-18,Appliances,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
KPR US LLC,Camden,Kershaw,SC,13,2026-06-01,2026-08-07,Manufacturing,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
"Conduent Commercial Solutions, LLC",Florham Park,Statewide - Multiple Counties,SC,28,2026-06-26,2026-08-28,Services,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
KPR US LLC,Camden,Kershaw,SC,3,2026-07-09,2026-11-01,Manufacturing,https://scworks.org/employer/employer-programs/risk-closing/layoff-notification-reports,
